Inv. Nr.,Pavadinimas,Kiekis,Plotas,Verte,Likut. Verte,Likv.verte,Turto grupe,Atsakingas,Skyrius,Ekspl. Vieta,Metodas,Norma,Men.suma,Pirkimo data,Ekspl. Pradzia,Devesis iki,Valdymo teise,Nuosavybe,Statistika,Isigijimo budas,Pask.oper.data
610251,Lauko inf.stendas/pagamin. ár.Baèiûnø g./Pra,"1,000",,727.93,46.43,0,Kitas ilgalaikis materialusis turtas,Jolanta Krasauskienë,Rëkyvos seniûnija,,Tiesinis metais,"10,00",5.16,12/11/2006,12/11/2006,12/31/2016,Nuosavas,,Kitas ilgalaikis materialusis turtas, Pirkimas,3/31/2016
610252,Lauko inform.stendas/pagam. ir áreng.Energet,"1,000",,727.93,46.43,0,Kitas ilgalaikis materialusis turtas,Jolanta Krasauskienë,Rëkyvos seniûnija,,Tiesinis metais,"10,00",5.16,12/11/2006,12/11/2006,12/31/2016,Nuosavas,,Kitas ilgalaikis materialusis turtas, Pirkimas,3/31/2016
610253,Lauko inf.stendas/pag. áreng.Vyturiø g/ðalia,"1,000",,727.93,46.43,0,Kitas ilgalaikis materialusis turtas,Jolanta Krasauskienë,Rëkyvos seniûnija,,Tiesinis metais,"10,00",5.16,12/11/2006,12/31/2006,12/31/2016,Nuosavas,,Kitas ilgalaikis materialusis turtas, Pirkimas,3/31/2016
130132,Skaitlys HP Scan Jet 11P,"1,000",,1594.07,0,0,Kita biuro áranga,Dainutë Dubinienë,Ðvietimo skyrius,5 kab.,Tiesinis metais,"8,00",0,6/19/2006,6/19/2006,12/31/2019,Nuosavas,,Baldai ir biuro áranga, Pirkimas,10/30/2015
130217,Maitinimo ðaltinis,"1,000",,547.67,0,0,Kompiuteriai ir jø áranga,Dainutë Dubinienë,Ðvietimo skyrius,5 kab.,Tiesinis metais,"5,00",0,6/19/2006,6/19/2006,11/30/2016,Nuosavas,,Baldai ir biuro áranga, Pirkimas,10/30/2015
160002,Staliukas/kompiuter./,"1,000",,359.71,0,0,Baldai,Dainutë Dubinienë,Ðvietimo skyrius,12 kab.,Tiesinis metais,"12,00",0,6/19/2006,6/19/2006,6/30/2018,Nuosavas,,Baldai ir biuro áranga, Pirkimas,12/31/2014
160004,Áriðimo árenginys''Kamborela'',"1,000",,534.64,0,0,Kita biuro áranga,Dainutë Dubinienë,Ðvietimo skyrius,5 kab.,Tiesinis metais,"8,00",0,6/19/2006,6/19/2006,12/31/2019,Nuosavas,,Baldai ir biuro áranga, Pirkimas,12/31/2014
160013,Magnetola''Panasonic'',"1,000",,424.29,0,0,Kitas ilgalaikis materialusis turtas,Dainutë Dubinienë,Ðvietimo skyrius,13 kab.,Tiesinis metais,"10,00",0,6/19/2006,6/19/2006,,Nuosavas,,Kitas ilgalaikis materialusis turtas, Pirkimas,12/31/2014
160014,Magnetola''Panasonic'',"1,000",,424.29,0,0,Kitas ilgalaikis materialusis turtas,Dainutë Dubinienë,Ðvietimo skyrius,20 kab.,Tiesinis metais,"10,00",0,6/19/2006,6/19/2006,,Nuosavas,,Kitas ilgalaikis materialusis turtas, Pirkimas,12/31/2014
160275,Baldø kompl.''Pakalnutë'',"1,000",,480.19,0,0,Baldai,Dainutë Dubinienë,Ðvietimo skyrius,20 kab.,Tiesinis metais,"12,00",0,6/19/2006,6/19/2006,6/30/2018,Nuosavas,,Baldai ir biuro áranga, Pirkimas,12/31/2014
160432,Baldø kompl./svetainës/,"1,000",,857.85,0,0,Baldai,Dainutë Dubinienë,Ðvietimo skyrius,19 kab.,Tiesinis metais,"12,00",0,6/19/2006,6/19/2006,6/30/2018,Nuosavas,,Baldai ir biuro áranga, Pirkimas,12/31/2014
160437,Spinteliø kompl./virtuviniø/,"1,000",,463.39,0,0,Baldai,Dainutë Dubinienë,Ðvietimo skyrius,virtuvëlë,Tiesinis metais,"12,00",0,6/19/2006,6/19/2006,6/30/2018,Nuosavas,,Baldai ir biuro áranga, Pirkimas,12/31/2014
160636,Stalas,"1,000",,327.85,0,0,Baldai,Dainutë Dubinienë,Ðvietimo skyrius,4 kab.,Tiesinis metais,"12,00",0,6/19/2006,6/19/2006,6/30/2018,Nuosavas,,Baldai ir biuro áranga, Pirkimas,12/31/2014
160657,Stalas/posëdþiø/,"1,000",,333.06,1.31,1.31,Baldai,Dainutë Dubinienë,Ðvietimo skyrius,pasitarimø kab.,Tiesinis metais,"12,00",0,6/19/2006,6/19/2006,,Nuosavas,,Baldai ir biuro áranga, Pirkimas,12/31/2014
160665,Mikrobanginë krosnelë,"1,000",,735.35,0,0,Kitas ilgalaikis materialusis turtas,Dainutë Dubinienë,Ðvietimo skyrius,virtuvëlë,Tiesinis metais,"10,00",0,6/19/2006,6/19/2006,,Nuosavas,,Kitas ilgalaikis materialusis turtas, Pirkimas,12/31/2014
2011000,Kadastriniø matavimø byla/S.Lukauskio g.14/,"1,000",,512.92,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,1/4/2011,1/4/2011,1/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011001,Kadastriniø matavimø byla/Lyros g.13/,"1,000",,820.2,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,1/4/2011,1/4/2011,1/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011002,Kadastriniø matavimø byla/Þvyro g.6/,"1,000",,224.02,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,2/20/2011,2/20/2011,2/28/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011003,Kadastriniø matavimø byla/Birþtono g.8/,"1,000",,224.02,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,2/20/2011,2/20/2011,2/28/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011004,Kadastriniø matavimø byla/Maþoji g.6A/,"1,000",,224.02,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,2/20/2011,2/20/2011,2/28/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011005,Kadastriniø matavimø byla/Ragainës g.59/,"1,000",,96.5,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,3/3/2011,3/3/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011006,Kadastriniø matavimø byla/Verduliukø g.15B/,"1,000",,96.5,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,3/3/2011,3/3/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011009,Techninio projekto korektûra,"1,000",,19975.09,0,0,Kitas nematerialusis turtas,Rima Jankienë,Statybos skyrius,,Tiesinis metais,"2,00",0,4/1/2011,4/1/2011,2/28/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,10/1/2015
2011010,Kadastriniø matavimø byla/Geguþiøg.2A/,"1,000",,244.7,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,4/26/2011,4/26/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011011,Kadastriniø matavimø byla/Gilijos g.1/,"1,000",,244.7,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,4/26/2011,4/26/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011012,Kadastriniø matavimø byla/Voveriðkiø g.3/,"1,000",,244.7,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,4/26/2011,4/26/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011013,Kadastriniø matavimø byla/Sembos g.10/,"1,000",,224.02,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,4/26/2011,4/26/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011014,Kadastriniø matavimø byla/Ginkûnø g.5/,"1,000",,224.02,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,4/26/2011,4/26/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011015,Kadastriniø matavimø byla/Ragainës g.59/,"1,000",,224.02,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,4/26/2011,4/26/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011016,Kadastriniø matavimø byla/Verduliøg.15/,"1,000",,224.02,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,4/26/2011,4/26/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011017,Kadastriniø matavimø byla/Bertuþiø g.12/,"1,000",,224.02,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,4/26/2011,4/26/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011018,Kadastriniø matavimø byla/Bertuþiø g.14/,"1,000",,224.02,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,4/26/2011,4/26/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011019,Kadastriniø matavimø byla/Bertuþiø g.16/,"1,000",,224.02,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,4/26/2011,4/26/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011020,Kadastriniø matavimø byla/Bertuþiø g.18/,"1,000",,224.02,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,4/26/2011,4/26/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011021,Kadastriniø matavimø byla/Bertuþiø g.30/,"1,000",,224.02,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,4/26/2011,4/26/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011022,Kadastriniø matavimø byla/Bertuþiø g.38/,"1,000",,224.02,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,4/26/2011,4/26/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011023,Kadastriniø matavimø byla/Baltarusiø g.4/,"1,000",,99.95,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,4/26/2011,4/26/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011024,Kadastriniø matavimø byla/Baltarusiø g.8/,"1,000",,99.95,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,4/26/2011,4/26/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011025,Kadastriniø matavimø byla/Aido g.10A/,"1,000",,96.5,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,5/17/2011,5/17/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011026,Kadastriniø matavimø byla/Aido g.10B/,"1,000",,96.5,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,5/17/2011,5/17/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011027,Kadastriniø matavimø byla/Aido g.10C/,"1,000",,99.95,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,5/17/2011,5/17/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011028,Kadastriniø matavimø byla/Aido g.18/,"1,000",,58.59,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,8/8/2011,8/8/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011029,Kadastriniø matavimø byla/Tilþës g.164/,"1,000",,58.59,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,8/8/2011,8/8/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011030,Kadastriniø matavimø byla/Poilsio g.1A/,"1,000",,58.59,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,8/8/2011,8/8/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011031,Kadastriniø matavimø byla/Architektø g.75/,"1,000",,58.59,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,8/8/2011,8/8/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011032,Kadastriniø matavimø byla/Varpo g.9/,"1,000",,58.59,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,8/8/2011,8/8/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011033,Kadastriniø matavimø byla/Jotvingiø g.84/,"1,000",,58.59,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,8/8/2011,8/8/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011034,Kadastriniø matavimø byla/Vilniaus g.116B/,"1,000",,58.59,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,8/8/2011,8/8/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011035,Kadastriniø matavimø byla/M.Valanèiaus g.23F/,"1,000",,58.59,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,8/8/2011,8/8/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011036,Kadastriniø matavimø byla/Tilþës g.107/,"1,000",,58.59,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,8/10/2011,8/10/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011037,Kadastriniø matavimø byla/Statybininkø g.25G/,"1,000",,244.7,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,8/10/2011,8/10/2011,8/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011038,Kadastriniø matavimø byla/Lizdeikos g.91B/,"1,000",,244.7,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,8/10/2011,8/10/2011,8/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011039,Kadastriniø matavimø byla/Lizdeikos g.91C/,"1,000",,224.02,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,8/10/2011,8/10/2011,8/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011040,Kadastriniø matavimø byla/Piktmiðkio g.16A/,"1,000",,224.02,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,8/10/2011,8/10/2011,8/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011041,Kadastriniø matavimø byla/Auðros al.84/,"1,000",,224.02,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,8/30/2011,8/30/2011,8/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011042,Topografinis planas/Dauðiðkiø k./,"1,000",,2027.34,0,0,Kitas nematerialusis turtas,Daiva Jasnauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,9/9/2011,9/9/2011,9/30/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011043,Kadastriniø matavimø byla/D.Poðkos 2B/ir/Viln,"1,000",,414.81,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,10/1/2011,10/1/2011,10/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011044,Detalusis planas/Energetikø g.20Air Energetik,"1,000",,3335.5,0,0,Kitas nematerialusis turtas,Daiva Jasnauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,10/1/2011,10/1/2011,10/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011045,Kadastriniø matavimø byla/Tilþës g.100/,"1,000",,179.22,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,10/3/2011,10/3/2011,10/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011046,Kadastriniø matavimø byla/Uþmiesèio g.5/,"1,000",,79.96,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,10/3/2011,10/3/2011,10/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011047,Kadastriniø matavimø byla/Tiesioji g.27/,"1,000",,179.22,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,10/3/2011,10/3/2011,10/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011048,Kadastriniø matavimø byla/Tolminkiemio g.8/,"1,000",,206.39,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,10/19/2011,10/19/2011,10/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011052,Techninis projektas/Basanavièiaus g.92/,"1,000",,3822.98,0,0,Kitas nematerialusis turtas,Ija Jencienë,Investicijø ir miesto plëtros skyrius,,Tiesinis metais,"2,00",0,9/1/2011,9/1/2011,9/30/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,10/30/2015
2011053,Kadastriniø matavimø byla/Draugystës g.23/,"1,000",,96.5,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,11/14/2011,11/14/2011,11/30/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011054,Kadastriniø matavimø byla/Vasario 16-osios g.,"1,000",,96.5,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,11/14/2011,11/14/2011,11/30/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011055,Kadastriniø matavimø byla/Numeriø g.4/,"1,000",,224.02,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,11/14/2011,11/14/2011,11/30/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011056,Kadastriniø matavimø byla/Uosiø g.24/,"1,000",,224.02,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,11/29/2011,11/29/2011,11/30/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011057,Kadastriniø matavimø byla/Vilniaus g.213/,"1,000",,130.97,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,11/29/2011,11/29/2011,11/30/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011058,Kadastriniø matavimø byla/Energetikø g.20A/,"1,000",,155.09,0,0,Kitas nematerialusis turtas,Kristina Vaièekauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,11/29/2011,11/29/2011,11/30/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011059,KATS galimybiø studijos,"1,000",,4344.3,0,0,Kitas nematerialusis turtas,Eglë Bruþienë,Aplinkos skyrius,,Tiesinis metais,"2,00",0,12/5/2011,12/5/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011061,"Detalusis planas/Tilþës g.29,29A,29B,31A,35/","1,000",,4442.77,0,0,Kitas nematerialusis turtas,Daiva Jasnauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,12/21/2011,12/21/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011062,Detalusis planas/Dailidþiø g.11/-Metalistø g.40,"1,000",,1784.73,0,0,Kitas nematerialusis turtas,Daiva Jasnauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,12/21/2011,12/21/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011063,Detalusis planas/Dailidþiø g.12/-Metalistø g.40,"1,000",,2008.72,0,0,Kitas nematerialusis turtas,Daiva Jasnauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,12/21/2011,12/21/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
2011064,Detalusis planas/Iðradëjø ir Aukðtabalio g.sa,"1,000",,7120.95,0,0,Kitas nematerialusis turtas,Daiva Jasnauskienë,Architektûros ir urbanistikos skyrius,,Tiesinis metais,"2,00",0,12/29/2011,12/29/2011,12/31/2013,Nuosavas,,Kitas nematerialusis turtas, Pirkimas,12/31/2014
1348848,Kompiuteris''OptiPlex''GX520 Desktop Dell''/pa,"1,000",,1161.15,0,0,Kompiuteriai ir jø áranga,Loreta Kaziulionienë,Medelyno seniûnija,,Tiesinis metais,"5,00",0,8/28/2007,8/28/2007,8/31/2012,"Valdomas, naudojamas ir disponuojamas patikëjimo teise",,Baldai ir biuro áranga, Pirkimas,12/31/2014
1348849,Kompiuteris''OptiPlex GX520 Desktop Dell''/pat,"1,000",,1161.15,0,0,Kompiuteriai ir jø áranga,Jolanta Krasauskienë,Rëkyvos seniûnija,,Tiesinis metais,"5,00",0,8/28/2007,8/28/2007,8/31/2012,"Valdomas, naudojamas ir disponuojamas patikëjimo teise",,Baldai ir biuro áranga, Pirkimas,12/31/2014
1349978,Saugaus duom.perd.ðifrav.komut.ár.kompl./patik,"1,000",,1866.02,0,0,Kompiuteriai ir jø áranga,Loreta Kaziulionienë,Medelyno seniûnija,,Tiesinis metais,"5,00",0,8/28/2007,8/28/2007,8/31/2012,"Valdomas, naudojamas ir disponuojamas patikëjimo teise",,Baldai ir biuro áranga, Pirkimas,12/31/2014
1349979,Saugaus duom.perd.ðifrav.komut.ár.kompl./patik,"1,000",,1866.02,0,0,Kompiuteriai ir jø áranga,Jolanta Krasauskienë,Rëkyvos seniûnija,,Tiesinis metais,"5,00",0,8/28/2007,8/28/2007,8/31/2012,"Valdomas, naudojamas ir disponuojamas patikëjimo teise",,Baldai ir biuro áranga, Pirkimas,12/31/2014
13100036,Spausdintuvas HP Laser,"1,000",,575.19,0,0,Kompiuteriai ir jø áranga,Sigita Kamarauskienë,Miesto infrastruktûros skyrius,330 kab.,Tiesinis metais,"5,00",0,12/1/1999,12/1/1999,12/31/2016,Nuosavas,,Baldai ir biuro áranga, Pirkimas,12/31/2014
13100038,Spausdintuvas  HP Laser,"1,000",,575.19,0,0,Kompiuteriai ir jø áranga,Lilija Vaièeliûnienë,Vieðosios tvarkos ir civilinës saugos skyrius,347 kab.,Tiesinis metais,"5,00",0,12/1/1999,12/1/1999,12/31/2016,Nuosavas,,Baldai ir biuro áranga, Pirkimas,12/31/2014
13100718,Spausdintuvas HP LJ 6L,"1,000",,513.5,0,0,Kompiuteriai ir jø áranga,Sigita Kamarauskienë,Miesto infrastruktûros skyrius,324 kab.,Tiesinis metais,"5,00",0,12/1/1999,12/1/1999,12/31/2016,Nuosavas,,Baldai ir biuro áranga, Pirkimas,12/31/2014
13106102,Skaneris HP S3 4C /111 kab./,"1,000",,747.22,0,0,Kita biuro áranga,Birutë Beinorienë,Architektûros ir urbanistikos skyrius,111 kab.,Tiesinis metais,"8,00",0,12/1/1999,12/1/1999,12/31/2019,Nuosavas,,Baldai ir biuro áranga, Pirkimas,12/31/2014
13106104,Spausdintuvas HPLJSH,"1,000",,2937.04,0,0,Kompiuteriai ir jø áranga,Rimantas Voveris,Informatikos skyrius,111 kab.,Tiesinis metais,"5,00",0,12/1/1999,12/1/1999,12/31/2016,Nuosavas,,Baldai ir biuro áranga, Pirkimas,12/1/2015
13106124,Skaneris TRU Scan /111 kab./-valdym.plokðtë/11,"1,000",,11036.26,0,0,Kita biuro áranga,Birutë Beinorienë,Architektûros ir urbanistikos skyrius,111 kab.,Tiesinis metais,"8,00",0,10/1/1999,10/1/1999,12/31/2019,Nuosavas,,Baldai ir biuro áranga, Pirkimas,12/31/2014
13106127,Ploteris Ao,"1,000",,7134.21,0,0,Kita biuro áranga,Birutë Beinorienë,Architektûros ir urbanistikos skyrius,101 kab.,Tiesinis metais,"8,00",0,10/1/1999,10/1/1999,12/31/2019,Nuosavas,,Baldai ir biuro áranga, Pirkimas,12/31/2014
13118139,Spausdintuvas HP Laser Jet 110,"1,000",,575.19,0,0,Kompiuteriai ir jø áranga,Sigita Kamarauskienë,Miesto infrastruktûros skyrius,330 kab.,Tiesinis metais,"5,00",0,10/1/1999,10/1/1999,12/31/2016,Nuosavas,,Baldai ir biuro áranga, Pirkimas,12/31/2014
