Pavadinimas,Kortel?s Nr.,Inv. Nr.,"Vert?, Eur","Sukauptas nusid?v?jimas, Eur","Likutin? vert?, Eur",Kiekis m2
Medelyno g.5-306a,0904,120587,71.06,13.65,57.41,19.91
Medelyno g.5-308a,0905,120588,73.44,14.09,59.35,20.35
Medelyno g.5-402b,0906,120589,53.89,10.32,43.57,13.23
Medelyno g.5-405a,0907,120590,97.72,18.70,79.02,19.14
Medelyno g.5-500,0908,120591,36.07,6.80,29.27,8.88
Medelyno g.5-508a,0909,120593,74.67,14.30,60.37,19.43
Medelyno g.5-508b,0910,120594,58.15,11.28,46.87,14.65
Varpo g.57-4,0911,120595,25.80,6.62,19.18,17.77
Varpo g.57-13,0912,120596,51.29,13.38,37.91,35.34
Varpo g.57-26,0913,120597,23.98,6.25,17.73,18.13
Varpo g-57-30,0914,120598,23.57,6.05,17.52,17.95
Varpo g .57-50,0915,120599,23.25,6.00,17.25,17.62
Varpo g.57-63,0916,120600,46.89,12.21,34.68,35.54
Varpo g.57-72,0917,120601,23.60,6.06,17.54,17.80
Varpo g.57-77,0918,120602,23.12,5.98,17.14,17.44
Dubijos g.31-19,0919,120603,11.74,4.95,6.79,28.96
Radviliškio g.70-15,0920,120604,15.67,3.69,11.98,29.59
Varpo g.57-86,0921,120605,45.51,11.77,33.74,34.34
Varpo g.57-88,0922,120606,23.00,5.97,17.03,17.92
Varpo g.57-118,0923,120607,23.60,6.06,17.54,17.83
?iurlionio g.16-96,0924,120608,80.44,70.56,9.88,17.02
?iurlionio g.16-97,0925,120609,84.00,62.17,21.83,17.14
?iurlionio g.16-98,0926,120610,86.97,64.45,22.52,17.75
?iurlionio g.16-99,0927,120613,86.97,64.45,22.52,17.75
?iurlionio g.16-65,0928,120614,86.73,64.31,22.42,17.67
?iurlionio g.16-70,0929,120615,89.83,66.58,23.25,17.02
?iurlionio g.16-78,0930,120617,93.99,69.60,24.39,17.81
Radviliškio g.72-36,0931,120618,0.01,0.01,,50.70
?iurlionio g.16-100,0932,120619,86.97,64.45,22.52,17.75
?iurlionio g.16-104,0933,120620,86.97,64.45,22.52,17.75
?iurlionio g.16-106,0934,120621,86.97,64.45,22.52,17.75
?iurlionio g.16-107,0935,120622,87.29,64.66,22.63,17.81
?iurlionio g.16-108,0936,120623,86.94,64.43,22.51,17.81
?iurlionio g. 16-111,0937,120624,86.97,64.45,22.52,17.75
?iurlionio g.16-115,0938,120625,85.71,63.48,22.23,17.55
?iurlionio g.16-116,0939,120626,86.69,64.27,22.42,17.69
?iurlionio g.16-118,0940,120627,169.56,125.93,43.63,35.78
?iurlionio g.16-46,0941,120628,82.88,14.21,68.67,17.72
Radviliškio g.76-43,0942,120629,29.54,11.27,18.27,63.39
?iurlionio g.16-119,0943,120630,0.01,0.01,,17.55
?iurlionio g.16-121,0944,120631,0.01,0.01,,17.60
Radviliškio g.124,0945,120632,"15,881.75","8,685.93","7,195.82",740.71
Radviliškio g.78-30,0946,120640,12.94,4.67,8.27,29.01
Spindulio g.6-10,0948,120655,"7,530.12","1,116.81","6,413.31",57.57
Geguži? g.85-17,0949,120658,"7,917.49","1,262.83","6,654.66",36.16
"Vilniaus g. 4, 47/100",0950,120659.,"3,842.97","3,842.97",,64.43
Aukštoji g.20-8,0951,120660,46.34,35.14,11.20,46.73
Aušros al?ja 13-16,0952,120664,14.19,8.49,5.70,66.57
Aušros al?ja 41-28,0953,120666,13.61,8.37,5.24,32.51
Birštono g.7-4,0954,120667,16.80,16.80,,36.33
"Radviliškio g.80-5, 68/100",0956,120669,24.90,9.11,15.79,73.32
Dvaro g.147-4,0958,120671,21.14,3.40,17.74,46.61
Lukšio g.8-14,0959,120672,24.62,15.09,9.53,32.06
Spindulio g.10-21,0960,120673,61.14,24.11,37.03,77.26
Spindulio g.12-8,0961,120674,44.02,11.32,32.70,43.43
Spindulio g 12-14,0962,120675,59.08,8.75,50.33,36.62
Šalkauskio g.12-7,0963,120676,18.54,2.70,15.84,37.17
Šalkauskio g.7-5,0964,120677,13.90,7.24,6.66,30.46
Talšos g.2-38,0965,120678,9.56,5.75,3.81,43.90
Radviliškio g.80-28,0966,120679,0.01,0.01,,50.10
Trak? g.23-33,0967,120680,15.35,8.01,7.34,41.23
Trak? g.23-45,0968,120681,15.35,8.01,7.34,40.98
Trak? g.27-39,0969,120682,15.35,8.15,7.20,43.82
Tilž?s g.169-43,0970,120684,13.61,6.05,7.56,30.45
Tilž?s g.269-1,0971,120685,10.72,6.00,4.72,14.94
Tilž?s g.269-5,0972,120686,11.30,6.54,4.76,15.57
Radviliškio g.92-10,0975,120689,39.03,16.97,22.06,45.64
Tilž?s g.260-4,0976,120691,9.27,9.27,,32.22
Tilž?s g.260-3,0977,120692,21.14,21.14,,37.44
Radviliškio g.92-15,0978,120693,28.00,12.06,15.94,44.95
Žemait?s g.56-17,0984,120700,27.22,11.88,15.34,43.37
Radviliškio g.92-31,0986,120703,65.45,28.91,36.54,69.91
Žemait?s g.66-8,0987,120705,15.06,7.87,7.19,41.29
?kalovo g.24-4,0991,120710,6.05,2.04,4.01,43.59
?kalovo g.23-4,0990,120713,6.05,2.04,4.01,44.95
?kalovo g.22-1,0989,120714,6.05,3.33,2.72,36.18
?kalovo g.28-1,0993,120716,9.13,5.03,4.10,42.96
?kalovo g. 30-2,0995,120719,0.29,,0.29,33.92
?kalovo g.31-4,0996,120721,6.05,1.94,4.11,42.93
?kalovo g.28-3,0994,120722,6.05,3.26,2.79,35.26
?kalovo g.37,1000,120727,6.05,3.26,2.79,160.60
?kalovo g.35-4,0999,120728,5.96,3.24,2.72,27.79
Radviliškio g.92-45,0998,120729,21.53,9.21,12.32,25.43
?kalovo g.35-1,0997,120730,6.84,3.79,3.05,32.82
?kalovo g.41-1,1002,120733,8.13,4.41,3.72,44.64
?kalovo g.39-1,1001,120734,9.86,5.42,4.44,47.31
Radviliškio g.96-14,1003,120736,23.20,11.95,11.25,39.25
?kalovo g.43-2,1005,120739,8.13,4.41,3.72,34.89
?kalovo g.43-1,1004,120740,6.05,3.26,2.79,43.69
Draugyst?s g.3a-73,1007,120743,8.72,4.62,4.10,15.41
Draugyst?s g.3a-33,1006,120744,9.32,4.70,4.62,16.08
Radviliškio g.100-11,1009,120747,15.93,5.27,10.66,29.11
Geguži? g.51-205A,1017,120756,13.53,4.65,8.88,20.36
Radviliškio g.102-26,1018,120758,8.65,3.27,5.38,26.21
?kalovo g.43-3,1016,120759,6.05,3.26,2.79,42.83
?kalovo g.21-2,1015,120760,6.05,3.33,2.72,38.63
?kalovo g.20-4,1014,120761,6.05,4.33,1.72,36.68
?kalovo g.18-1,1013,120762,6.05,3.33,2.72,39.65
Žali?ki? g.152,1021,120766,8.40,5.78,2.62,60.01
Geguži? g.45-203,1028,120774,766.45,113.08,653.37,50.11
Gumbin?s g.114-506,1033,120780,79.96,22.69,57.27,19.72
Basanavi?iaus g.51-304,1036,120784,54.79,18.11,36.68,10.88
Vytauto g.263-16,1039,120787,24.24,8.64,15.60,18.44
Tilž?s g.28-1b,1040,120788,23.76,4.01,19.75,35.34
Vytauto g.263-26a,1038,120789,17.55,6.12,11.43,14.13
Tilž?s g.28-27,1041,120790,11.03,1.94,9.09,17.72
Vytauto g.263-20,1037,120791,25.35,9.00,16.35,19.28
Tilž?s g.28-110,1042,120792,23.41,3.98,19.43,35.52
Tilž?s g.28-117,1043,120793,23.21,3.96,19.25,34.48
Tilž?s g.28-127,1044,120794,22.41,3.90,18.51,35.14
Basanavi?iaus g.74-1,1045,120795,"24,892.00","3,660.97","21,231.03",65.33
Basanavi?iaus g.74-3,1046,120796,"16,594.67","2,440.58","14,154.09",50.90
Basanavi?iaus g.74-4,1047,120797,"16,594.67","2,440.58","14,154.09",52.48
Basanavi?iaus g.74-6,1049,120799,"8,297.34","1,220.27","7,077.07",37.68
Basanavi?iaus g.74-7,1050,120800,"16,594.67","2,440.58","14,154.09",50.18
Basanavi?iaus g.74-9,1051,120801,"24,892.00","3,660.97","21,231.03",64.71
Basanavi?iaus g.74-10,1052,120802,"8,297.34","1,220.27","7,077.07",37.48
Basanavi?iaus g.74-13,1053,120803,"24,892.00","3,660.97","21,231.03",65.08
Basanavi?iaus g.74-17,1054,120804,"24,892.00","3,660.97","21,231.03",65.31
Basanavi?iaus g.74-18,1055,120805,"8,297.34","1,220.27","7,077.07",37.73
Basanavi?iaus g.74-19,1056,120806,"16,594.67","2,440.58","14,154.09",51.17
Basanavi?iaus g.74-20,1057,120807,"16,594.67","2,440.58","14,154.09",51.43
Basanavi?iaus g.51-402,1035,120808,61.68,20.41,41.27,10.53
Dubijos g.31-96,1058,120809,12.78,5.34,7.44,47.70
Radviliškio g.106-23,1059,120810,15.74,6.31,9.43,28.46
Basanavi?iaus g.74-22,1060,120811,"16,594.67","2,440.58","14,154.09",50.96
Basanavi?iaus g 74-23,1061,120812,"33,189.34","4,881.41","28,307.93",77.57
Basanavi?iaus g.74-24,1062,120813,"16,594.67","2,440.58","14,154.09",50.48
Basanavi?iaus g.74-25,1063,120814,"16,594.67","2,440.58","14,154.09",50.30
Basanavi?iaus g.74-26,1064,120815,"33,189.34","4,881.41","28,307.93",78.32
Basanavi?iaus g.74-28,1065,120816,"16,594.67","2,440.58","14,154.09",50.67
Basanavi?iaus g.74-30,1066,120817,"16,594.67","2,440.58","14,154.09",50.69
Basanavi?iaus g.74-31,1067,120818,"16,594.67","2,440.58","14,154.09",50.35
Basanavi?iaus g.74-32,1068,120819,"33,189.34","4,881.41","28,307.93",77.81
Basanavi?iaus g.74-33,1069,120820,"16,594.67","2,440.58","14,154.09",49.78
Basanavi?iaus g.51-322,1034,120821,76.54,25.41,51.13,13.09
Basanavi?iaus g.74-34,1070,120822,"16,594.67","2,440.58","14,154.09",49.95
Basanavi?iaus g.74-35,1071,120823,"33,189.34","4,881.41","28,307.93",78.34
Basanavi?iaus g.74-36,1072,120824,"33,189.34","4,881.41","28,307.93",77.94
Basanavi?iaus g.74-38,1073,120825,"16,594.67","2,440.58","14,154.09",49.50
Basanavi?iaus g.74-40,1074,120826,"16,594.67","2,440.58","14,154.09",50.17
Radviliškio g.102-38,1032,120827,19.69,7.36,12.33,59.62
Basanavi?iaus g.74-47,1075,120828,"16,594.67","2,440.58","14,154.09",48.85
Basanavi?iaus g.74-48,1076,120829,"33,189.34","4,881.41","28,307.93",78.01
Basanavi?iaus g.74-49,1077,120830,"16,594.85","2,440.77","14,154.08",50.05
Basanavi?iaus g.74-50,1078,120831,"16,594.67","2,440.58","14,154.09",48.67
"Radviliškio g.108-9, 450/1000",1079,120832,7.09,4.95,2.14,81.23
Tilž?s g.175-93,1080,120833,47.79,4.93,42.86,44.13
Gumbin?s g.114-103,1030,120837,55.69,15.85,39.84,13.88
Birut?s g.40a-2,1084,120839,35.03,20.30,14.73,21.30
Birut?s g.40a-3,1085,120840,24.13,13.92,10.21,23.33
Birut?s 40a-7,1086,120841,75.33,43.64,31.69,22.08
Birut?s g.40a-8,1087,120842,75.33,43.64,31.69,23.73
Radviliškio g.108-11,1088,120843,16.81,12.08,4.73,80.08
Gumbin?s g.114-102,1029,120844,80.11,22.70,57.41,19.97
Tilž?s g.36-131,1026,120845,45.04,6.51,38.53,17.87
Tilž?s g.36-120,1025,120846,44.49,6.49,38.00,17.73
Basanavi?iaus g.45-5,1089,120847,49.76,29.22,20.54,34.54
Basanavi?iaus g. 45-4,1090,120847/1,32.98,19.12,13.86,22.89
Basanavi?iaus g.56-1,1091,120848,81.09,47.92,33.17,55.80
Basanavi?iaus g.81-2,1092,120849,26.08,17.18,8.90,20.41
Basanavi?iaus g.81-4,1093,120850,14.56,10.37,4.19,12.24
Basanavi?iaus g. 81-3,1094,120850/1,17.14,11.25,5.89,14.40
Basanavi?iaus g.81-5,1095,120851,42.07,25.77,16.30,30.29
Basanavi?iaus g.146-11,1096,120852,64.14,33.83,30.31,73.02
Basanavi?iaus g.146a-1,1097,120853,45.79,23.96,21.83,58.56
Tilž?s g.36-113,1024,120854,44.53,6.49,38.04,17.57
Basanavi?iaus g.146-8,1098,120855,22.28,11.56,10.72,72.52
Basanavi?iaus g.146c-6,1099,120856,3.81,1.07,2.74,11.25
Basanavi?iaus g.146c-9,1100,120857,12.56,3.36,9.20,39.20
Basanavi?iaus g.146c-16,1101,120858,4.81,1.16,3.65,14.70
Basanavi?iaus g.148-6,1102,120859,37.09,9.99,27.10,78.20
Radviliškio g.116-5,1103,120860,13.27,5.36,7.91,29.32
Basanavi?iaus g.148a-1,1104,120861,33.17,9.07,24.10,55.22
Tilž?s g 36-21,1023,120862,41.69,6.18,35.51,17.23
Radviliškio g.102-32,1022,120863,19.70,7.36,12.34,56.97
Basanavi?iaus 148b-8,1105,120864,41.37,11.33,30.04,61.04
Basanavi?iaus g.152-3,1106,120865,56.14,24.43,31.71,32.18
Basanavi?iaus g.154-4,1107,120866,49.45,21.25,28.20,26.90
Aušros al?ja76a,1108,120867,153.30,127.78,25.52,120.53
Margi? g.24-2,1020,120868,0.87,0.68,0.19,49.40
Trak? g.7-30,1019,120869,6.95,2.82,4.13,43.70
"Aušros al?ja 78, 76/100",1109,120870,91.45,67.04,24.41,91.39
Vilniaus g.20-8,1110,120871,59.36,17.65,41.71,53.36
?kalovo g.17-4,1012,120872,6.05,3.33,2.72,37.09
?kalovo g.15-4,143,120873,7.52,4.23,3.29,60.23
Bielskio g.10-2,1111,120874,40.91,29.12,11.79,25.67
?kalovo g.14-4,1010,120875,6.05,3.33,2.72,42.83
Bielskio g.10-4,1112,120876,36.42,15.45,20.97,26.48
?kalovo g.12-2,1008,120877,6.05,3.33,2.72,36.88
Dvaro  g.123-14,0988,120878,10.14,1.53,8.61,26.08
Bielskio g.51b-3,1113,120879,46.85,19.41,27.44,33.86
Bielskio g.51b-5,1114,120880,40.07,16.83,23.24,27.72
Bielskio g.51b-6,1115,120881,48.77,20.24,28.53,33.96
Vilniaus g.20-21,1116,120882,85.87,25.44,60.43,77.09
Bielskio g.51c-5,1117,120883,44.23,18.51,25.72,28.08
P.Cvirkos g.64-35,1118,120884,17.25,5.86,11.39,44.07
"P.Cvirkos g.64-75, 54/100",1119,120885,9.29,5.18,4.11,44.51
"P.Cvirkos g.64-93, 48/100",1120,120886,8.28,5.77,2.51,44.18
L.Giros g.4-2,1121,120887,73.10,73.10,,60.27
Dvaro g.51-9,1122,120888,87.43,39.13,48.30,56.56
Dvaro g.64-14,1123,120889,15.68,6.23,9.45,12.89
Dvaro g.64-21,1124,120890,31.92,12.40,19.52,26.24
Dubijos g.31-63,0985,120891,18.03,7.54,10.49,48.15
Varpo g.35-80,0983,120892,8.69,4.26,4.43,15.48
Dvaro g.64-38,1125,120893,32.01,12.57,19.44,26.33
Dvaro g.64-48,1126,120894,15.62,6.20,9.42,12.84
Dvaro g.64-52,1127,120895,15.33,6.11,9.22,13.14
Dvaro g.64-59,1128,120896,15.35,5.95,9.40,12.62
Dvaro g.64-65,1129,120897,29.52,11.97,17.55,24.27
Varpo g.35-75,0982,120898,8.40,3.91,4.49,14.81
Dvaro g.64-79,1130,120899,31.36,12.56,18.80,25.78
Varpo g.35-74,0981,120900,8.69,4.29,4.40,15.48
Dvaro g.64-92,1131,120901,15.30,6.70,8.60,12.58
Dvaro g.64-99,1132,120902,29.91,12.15,17.76,24.59
Varpo g.35-40,0980,120903,8.69,4.30,4.39,15.52
Dvaro g.64-151,1133,120904,15.78,6.75,9.03,12.97
Vilniaus g.21-8,1134,120905,21.37,7.35,14.02,33.92
Dvaro g.64-158,1135,120906,15.38,6.70,8.68,12.64
Dvaro g.64-164,1136,120907,15.25,5.77,9.48,12.14
Dvaro g.64-187,1137,120908,31.58,12.43,19.15,25.96
Dvaro g.64-196,1138,120909,15.68,6.16,9.52,12.89
Dvaro g.64-199,1139,120910,31.68,24.69,6.99,26.04
Dvaro g.169-4,1140,120911,91.12,42.78,48.34,49.75
Varpo g.33-22,0979,120912,9.56,5.73,3.83,41.21
"Dvaro g.173,-6",1141,120913,96.72,46.47,50.25,51.14
Dvaro g.175-4,1142,120914,58.04,27.14,30.90,23.16
Vilniaus g.34-30,1144,120917,37.14,11.74,25.40,52.29
Liep? g.20-5,1146,120921,63.94,28.23,35.71,32.30
Liep? g.22-1,1147,120922,58.80,25.95,32.85,31.76
Mickevi?iaus g.14-5,1148,120923,67.92,44.43,23.49,35.66
Mickevi?iaus g.19-47,1150,120924,70.34,24.73,45.61,44.47
Mickevi?iaus g.36-5,1151,120925,21.62,11.23,10.39,31.55
Vilniaus  g.40-10,1152,120926,45.83,12.23,33.60,78.49
Marijampol?s g.63-1,1153,120927,20.90,13.16,7.74,66.59
Mickevi?iaus g.32-3,1149,120929,30.70,15.70,15.00,37.02
Tilž?s g.61-4,1155,120929a,"22,578.40","3,967.97","18,610.43",52.89
Mickevi?iaus g.19-97,1145,120930,56.07,22.02,34.05,44.35
Sodo g.2a-1,1157,120931,41.20,20.02,21.18,20.56
Sodo 2a-4,1158,120933,49.41,23.48,25.93,24.15
Sodo g.2A-6,1159,120934,42.01,20.43,21.58,20.53
Sodo g.2a-11,1160,120935,46.32,22.19,24.13,22.65
Sodo g.2b-2,1161,120938,68.34,35.26,33.08,38.91
Sodo 2b-5,1162,120939,51.48,26.35,25.13,35.14
Sodo 2b-10,1163,120940,50.94,24.33,26.61,28.24
Sodo 2b-12,1164,120941,40.10,19.25,20.85,23.28
Sodo g.4-13,1165,120943,57.27,27.62,29.65,29.25
Sodo g.4-14,1166,120944,36.61,17.41,19.20,19.62
Sodo g.6-1,1167,120945,35.30,17.48,17.82,18.55
Sodo g.6-14,1168,120946,37.43,17.93,19.50,20.06
Sodo g.6-16,1169,120947,64.02,30.95,33.07,35.23
"Vytauto g.58-11, 35/100",1170,120948,6.35,3.20,3.15,36.93
Sodo g.6a-1,1171,120949,37.22,17.65,19.57,20.15
Sodo g.6a-3,1172,120950,46.77,22.79,23.98,24.33
Sodo  g.6a-4,1173,120951,39.37,18.84,20.53,23.45
Sodo g.6a-14,1174,120952,36.20,22.93,13.27,19.67
"Sodo g,8-6",1175,120953,39.28,19.08,20.20,22.18
Sodo g.8-7,1176,120954,86.30,41.55,44.75,45.38
Geležinkelio 24-4,1177,120956,91.66,39.03,52.63,49.48
Tilž?s g.101-2,1178,120959,58.93,27.78,31.15,37.41
Tilž?s g.107-76,1179,120960,38.91,14.85,24.06,20.10
Tilž?s g.107-79,1180,120961,39.81,5.88,33.93,26.72
Tilž?s g.134-4,1181,120962,87.58,28.81,58.77,45.74
Tilž?s g.134-9,1182,120963,81.54,26.73,54.81,42.12
Tilž?s g.134-15,1183,120964,84.66,27.78,56.88,43.73
Vytauto g.61-25,1184,120967,20.55,10.53,10.02,42.48
Varpo g.7-15,1185,120969,47.33,20.24,27.09,36.68
Vilniaus g.258-35,1186,120974,16.00,7.66,8.34,44.42
Vilniaus g.277-5,1187,120975,44.76,27.10,17.66,32.18
Vilniaus g.277-6,1188,120976,54.88,33.50,21.38,39.42
Vilniaus g.277-7,1189,120977,43.65,26.50,17.15,31.40
Vilniaus g.277-8,1190,120978,61.76,29.44,32.32,44.43
Valan?iaus g.29-1,1191,120980,20.53,13.12,7.41,67.45
Valan?iaus g.29-2,1192,120981,20.18,12.93,7.25,59.06
Vytauto g.61-40,1195,120984,20.26,10.40,9.86,41.94
Vytauto g.102-15,1196,120987,31.22,13.38,17.84,39.51
Vytauto g.131-95,1197,120988,65.10,25.35,39.75,49.12
Vytauto g.131-96,1198,120989,63.13,24.76,38.37,47.63
Vytauto g.150-54,1199,120990,17.96,7.89,10.07,36.52
Žemait?s g.75-1,1200,120991,55.41,26.54,28.87,44.02
Žemait?s g.75-2,1201,120992,68.10,32.72,35.38,54.55
Žemait?s g.75-3,1202,120993,55.72,26.85,28.87,44.28
Vytauto g.61-42,1203,120994,19.76,10.15,9.61,40.86
Ba?i?n? g.46-2,1204,120996,7.06,4.28,2.78,9.48
Ba?i?n? g.58-7,1205,120997,11.88,7.36,4.52,22.29
Ba?i?n? g.58-11,1206,120998,12.07,7.26,4.81,22.94
Ba?i?n? g.Nr.58E-1,1207,120999,53.45,43.37,10.08,50.30
Ba?i?n? g.Nr.58E-3,1210,121000,34.93,28.45,6.48,30.85
?kalovo g.1-4,1211,121002,8.13,4.49,3.64,45.48
?kalovo g.2-1,1212,121003,8.36,6.06,2.30,36.51
Vytauto g.65-34,1213,121004,18.01,9.12,8.89,41.86
?kalovo g.4-1,1214,121005,8.13,4.49,3.64,44.62
?kalovo g.5-1,1215,121006,6.05,3.33,2.72,28.55
?kalovo g.5-2,1216,121007,6.05,3.33,2.72,35.98
?kalovo g.6-3,1217,121008,8.13,4.70,3.43,56.55
?kalovo g.7-3,1218,121009,8.13,4.49,3.64,60.28
?kalovo g.7-4,1219,121010,8.13,4.49,3.64,56.44
Vytauto g.65-43,1220,121013,17.90,9.11,8.79,42.24
Vytauto g.67-54,1221,121014,19.75,10.07,9.68,41.59
Vytauto g.80-56,1222,121016,2.90,1.87,1.03,37.68
Višinskio g.32-11,1223,121020,13.80,6.62,7.18,36.91
Žalgirio g.2-7,1224,121021,7.39,3.66,3.73,24.64
Sodo g.6-10,1225,121022,0.01,0.01,,29.42
Gardino g.4-216a,1226,121023,42.18,5.76,36.42,19.86
Gytari? g.43-17,1227,121025,443.58,96.45,347.13,36.11
N.Ryto takas g.4-59 (49/100),1228,121027,9.34,3.45,5.89,47.85
Varpo  g.35-43,1229,121028,8.69,1.11,7.58,15.05
Dvaro g.64-71,1230,121033,15.76,6.49,9.27,12.96
Pirties g.9-25,1231,121035,0.01,0.01,,50.70
Vilniaus g.23-3,1232,121036,1.00,1.00,,52.09
Sodo g.2b-14,1233,121037,0.01,0.01,,20.71
Tilž?s g.107-55,1234,121038,0.01,0.01,,26.81
Vytauto g.131-17,1235,121039,0.01,0.01,,46.58
Draugyst?s pr.21-50,1236,121042,4.94,1.68,3.26,10.59
Medelyno g.7-206,1237,121043,7.71,4.25,3.46,22.46
Dain? g.41-29,1238,121044,16.93,5.03,11.90,35.94
Gardino g.19-15,1239,121045,29.43,8.26,21.17,50.14
Tilž?s g.61a-6,1240,121046,"14,112.48","2,573.54","11,538.94",35.37
Gytari? g.43-41,1241,121047,683.03,135.75,547.28,50.17
Dain? g.18-44,1242,121048,18.73,4.76,13.97,36.07
Radviliškio g.64-58,1243,121050,55.72,12.66,43.06,52.30
Topoli? g.8-5,1244,121052,9.85,6.97,2.88,30.64
Topoli? g.8-10,1245,121053,11.58,7.33,4.25,46.41
Draugyst?s g.3a-7,1246,121054,8.96,4.58,4.38,15.47
Tilž?s g.28-52,1247,121055,10.89,1.94,8.95,17.48
Tilž?s g.28-108,1248,121056,11.40,1.97,9.43,17.29
Tilž?s g.28-83,1249,121057,11.22,1.96,9.26,17.30
Basanavi?iaus g.146a-13,1250,121060,36.08,18.94,17.14,27.93
Basanavi?iaus g.148-2,1251,121061,57.79,15.41,42.38,70.48
Basanavi?iaus g.148-11,1252,121062,37.09,9.53,27.56,70.22
"Dvaro g.47-12, 34/100",1253,121064,38.79,17.24,21.55,74.33
Mickevi?iaus g.19-66,1254,121065,70.40,24.75,45.65,44.51
Šatrijos g.Nr.8,1255,121071,145.51,82.87,62.64,110.47
Vytauto g.58-28,1256,121072,20.75,10.85,9.90,41.40
Ba?i?n? g.Nr.54-1,1257,121075,11.42,7.00,4.42,26.59
Vytauto g.67-38,1258,121076,19.33,2.79,16.54,40.72
Tilž?s g.61b-12,1259,121183,"18,746.56","3,563.88","15,182.68",53.71
?kalovo g.33-1,1260,121184,9.80,5.40,4.40,47.03
Tilž?s g.107-14,1261,121186,39.21,14.76,24.45,20.33
Radviliškio g.98-48,1262,121188,0.01,0.01,,50.14
Margi? g.10a-317,1263,121190,29.18,3.93,25.25,33.99
V. Grinkevi?iaus 18-83,1264,121191,"5,908.25",815.41,"5,092.84",50.47
Lyros 7-29,1265,121196,"5,792.40",799.33,"4,993.07",31.58
Geguži? 47-69,1267,121199,"6,024.10",831.38,"5,192.72",52.15
Tilž?s 67A-8,1268,121200,"5,363.47",740.22,"4,623.25",34.31
Gardino 19-16,1269,121201,"6,294.60",868.71,"5,425.89",63.82
Dain? 10-30,1270,121203,"6,255.79",863.30,"5,392.49",63.82
Architekt? 50-40,1271,121204,"6,695.73",924.10,"5,771.63",36.22
Tilž?s 169-39,1272,121205,"7,240.50",999.26,"6,241.24",61.99
Lyros 5-39,1273,121206,"7,276.99","1,004.27","6,272.72",49.29
Ežero 2-21,1274,121207,"6,406.11",884.20,"5,521.91",44.89
Spindulio 12-39,1275,121208,"4,813.77",664.31,"4,149.46",36.76
Geguži? 70-11,1276,121209,"4,089.15",564.35,"3,524.80",33.51
Gardino 37-21,1277,121210,"5,249.65",724.40,"4,525.25",47.96
Geguži? 82-42,1278,121211,"5,250.23",724.66,"4,525.57",50.15
A. Mickevi?iaus 19-23,1279,121212,"5,899.27",814.11,"5,085.16",44.38
Tilž?s 169-12,1280,121213,"5,711.02",788.10,"4,922.92",44.50
Pirties 9-35,1281,121214,"7,857.10","1,084.41","6,772.69",51.79
Architekt? 4-38,1282,121215,"6,697.75",924.33,"5,773.42",49.02
Korsako 37-24,1283,121217,"4,525.89",624.59,"3,901.30",39.92
Sevastopolio 11-36,1284,121218,"7,278.44","1,004.50","6,273.94",62.99
Tilž?s g. 52-13,1285,121231,10.76,1.20,9.56,17.88
Tilž?s g. 52-49,1286,121232,10.93,1.34,9.59,18.16
Tilž?s g. 52-55,1287,121233,11.04,1.34,9.70,18.34
Tilž?s g. 52-61,1288,121234,10.46,1.19,9.27,17.38
Tilž?s g. 52-62,1289,121236,10.74,1.20,9.54,17.84
Tilž?s g. 52-77,1290,121237,10.76,1.20,9.56,17.88
Tilž?s g. 52-93,1291,121238,21.80,2.64,19.16,36.22
Tilž?s g. 52-132,1292,121239,10.98,1.34,9.64,18.25
Geguži? 64-27,1293,121243,"4,836.65",547.06,"4,289.59",32.90
Rasos g. 9-67,1294,121248,"9,302.30","1,050.82","8,251.48",44.15
Kvie?i? g.6-13,1295,121250,"9,065.35","1,022.74","8,042.61",50.17
Gardino 23-106,1296,121251,"9,441.85","1,065.02","8,376.83",49.97
Dain? g.84-32,1297,121252,"10,542.41","1,189.38","9,353.03",51.31
Dain? g.68-10,1298,121253,"10,745.14","1,212.19","9,532.95",50.40
Liepori? 3-82,1299,121254,"5,589.91",630.55,"4,959.36",29.06
Geguži? 13-41,1300,121255,"6,545.65",738.46,"5,807.19",30.98
Radviliškio g. 98-58,1301,121256,"9,007.42","1,033.77","7,973.65",51.57
 Aido g.37-35,1302,121257,"13,062.10","1,473.31","11,588.79",75.42
 Gytari? g. 10-14,1303,121258,"7,414.51",836.50,"6,578.01",36.16
Korsako g. 45-29,1304,121259,"6,980.08",787.49,"6,192.59",36.20
Liepori? g. 19-46,1305,121260,"8,862.61",999.87,"7,862.74",43.35
Dain? g. 21-32,1306,121261,"20,017.04","2,285.02","17,732.02",50.21
Korsako g. 20-1,1307,121262,"20,596.58","2,351.12","18,245.46",50.37
Rasos g. 26-11,1308,121263,"12,772.48","1,458.02","11,314.46",30.17
Dain? g. 52-17,1309,121264,"20,016.53","2,284.87","17,731.66",50.32
Gytari? g. 33-7,1310,121265,"23,785.21","2,715.09","21,070.12",67.63
Lyros g.2-25,1311,121266,"24,362.27","2,780.96","21,581.31",63.74
Tilž?s g. 32-5,1312,121267,"13,583.42","1,550.45","12,032.97",30.34
Sevastopolio g. 3-13,1313,121268,"49,235.40","4,068.94","45,166.46",49.94
Krymo g. 16-68,1314,121269,"49,959.45","4,161.43","45,798.02",50.28
Vytauto g. 102-7,1322,1240,31.52,3.50,28.02,39.90
