Pavadinimas,Kortel?s Nr.,Inv. Nr.,"Vert?, Eur","Sukauptas nusid?v?jimas, Eur","Likutin? vert?, Eur",Kiekis m2
?kalovo 19 (22/100),0582,120038,8.13,4.47,3.66,198.33
Vytauto g.106-5,0581,120039,13.78,6.80,6.98,16.63
Žalgirio g.2-71,0591,120040,0.01,0.01,,12.71
Skalvi? g.5-9,0599,120044,"18,282.89","3,303.96","14,978.93",119.53
Skalvi? g.5-14,0600,120049,"9,328.41","1,685.81","7,642.60",58.48
Skalvi? g.5-15,0601,120050,"17,993.52","3,251.70","14,741.82",119.30
Skalvi? g.5-34,0606,120071,"11,800.57","2,132.47","9,668.10",76.40
Žalgirio g.2-85,0607,120073,3.91,1.75,2.16,12.61
Žalgirio g.2-95,0608,120074,8.04,3.98,4.06,25.98
Žalgirio g.2-100,0609,120075,7.84,3.81,4.03,25.30
Žalgirio g.2-103,0610,120076,3.93,1.94,1.99,11.94
Žalgirio g.2-104,0611,120077,3.68,1.82,1.86,11.87
Žalgirio g.2-118,0612,120078,3.90,3.90,,12.58
Žalgirio g.2-121,0613,120079,7.72,3.66,4.06,25.18
Žalgirio g.2-125,0614,120080,3.66,1.82,1.84,11.80
Žalgirio g.2-126,0615,120081,3.88,1.83,2.05,11.77
Ežero g.3-50,0616,120082,17.26,8.63,8.63,41.38
Žalgirio g.2-129,0617,120083,3.89,1.83,2.06,12.57
Žalgirio g.2-148,0618,120084,3.73,1.82,1.91,12.06
Žalgirio g.2-164,0619,120085,3.98,1.94,2.04,12.84
Žalgirio g.2-157,0620,120086,7.78,3.79,3.99,25.04
Žalgirio g.2-163,0621,120087,3.85,1.83,2.02,12.42
Žalgirio g.2-178,0622,120088,3.91,1.94,1.97,12.64
Žalgirio g.2-181,0623,120089,8.14,3.91,4.23,26.28
Žalgirio g.2-185,0624,120090,3.91,1.83,2.08,12.61
Žalgirio g.2-187,0625,120091,7.93,3.81,4.12,25.59
Žalgirio g.2-189,0626,120092,3.91,1.83,2.08,12.61
Ežero g.3-52,0627,120093,15.17,7.44,7.73,36.55
Žalgirio g.2-192,0628,120094,8.11,3.98,4.13,26.19
Žalgirio g.2-196,0629,120095,3.93,1.93,2.00,12.67
Žalgirio g.2-197,0630,120096,3.92,1.93,1.99,12.72
Bielskio g.51c-7,0631,120097,0.01,0.01,,34.04
Vytauto g.90-26,0632,120098,17.90,9.11,8.79,42.25
Dvaro g. 175-6,0633,120099,46.09,23.89,22.20,30.23
Ežero g.12-15,0636,120104,17.79,8.82,8.97,42.96
Dariaus Gir?no g.10-58,0637,120107,24.52,7.31,17.21,61.79
Dariaus Gir?no g.14-57,0638,120108,35.44,10.13,25.31,44.21
Dariaus Gir?no g.18-14,0639,120110,12.18,3.64,8.54,30.27
Dariaus Gir?no g.20-46,0640,120111,17.16,5.10,12.06,44.12
Dain? g.90-62,0641,120114,14.89,4.11,10.78,36.50
Gvazdik? takas 2-53,0642,120115,43.65,10.62,33.03,64.71
Ežero g.19-57,0643,120116,19.76,9.60,10.16,41.39
Grinkevi?iaus g.18-98,0644,120119,31.47,7.88,23.59,50.47
Aukštabalio g.4-1,0645,120121,18.84,5.86,12.98,47.57
Aukštabalio g.10-80,0646,120122,19.55,6.24,13.31,47.65
Aukštabalio g.12-32,0647,120123,18.15,5.80,12.35,44.03
Aukštabalio g.14-29,0648,120125,17.44,5.65,11.79,43.99
Krymo g.18-76,0649,120126,27.59,7.10,20.49,49.25
Ežero g.23-37,0650,120127,23.54,11.82,11.72,52.16
Krymo g.24-43,0651,120128,30.53,7.81,22.72,49.03
Krymo g.40-6,0652,120129,23.62,6.35,17.27,49.95
Liepori? g.5-30,0653,120130,26.79,7.96,18.83,61.46
Liepori? g.19-14,0654,120131,12.80,3.45,9.35,29.50
Liepori? g.19-31,0655,120132,18.90,5.01,13.89,45.42
Liepori? g.19-40,0656,120133,18.83,6.05,12.78,43.46
Naujo ryto takas 2-3,0657,120134,12.65,3.70,8.95,29.05
Naujo ryto takas 2-51,0658,120135,19.35,5.67,13.68,43.79
Rasos g.3-43,0659,120136,17.62,5.23,12.39,44.27
Kraži? 19a-4,0660,120138,7.65,7.44,0.21,17.64
Rasos g.22-5,0661,120139,14.27,4.07,10.20,30.26
Rasos g.26-54,0662,120140,24.25,8.03,16.22,61.62
Rasos g.26-59,0663,120141,12.00,3.98,8.02,30.35
Statybinink? g. 13-53,0664,120142,19.56,5.89,13.67,47.85
Saul?s takas 3-20,0665,120143,18.42,5.26,13.16,44.14
Saul?s takas 3-34,0666,120144,12.59,3.62,8.97,30.14
Saul?s takas 4-1,0667,120145,24.11,6.86,17.25,46.91
Saul?s takas 4-21,0668,120146,30.41,8.55,21.86,61.74
Saul?s takas 4-28,0669,120147,14.97,4.19,10.78,30.39
Saul?s takas 4-29,0670,120148,21.85,6.28,15.57,44.36
Kraži? g.19a-5,0671,120149,6.43,6.13,0.30,14.32
Saul?s takas 6-18,0672,120150,18.95,5.48,13.47,44.22
Tilž?s g.32-49,0673,120153,18.03,5.21,12.82,44.54
Tilž?s g.56-29,0674,120154,18.38,5.61,12.77,44.34
Mechanik? g.5-1,0679,120160,35.18,20.71,14.47,23.52
Draugyst?s pr.21-38,0680,120162,7.99,5.20,2.79,16.20
Draugyst?s pr.21-82,0681,120163,7.56,2.71,4.85,16.21
Draugyst?s prospektas 21-87,0682,120164,7.86,2.80,5.06,16.96
Draugyst?s pr.21-91,0683,120165,7.58,2.71,4.87,16.25
Draugyst?s pr.21-92,0684,120166,7.81,2.78,5.03,16.74
Draugyst?s pr.21-94,0685,120167,4.87,1.65,3.22,10.44
Medelyno  g.7-108a,0686,120169,5.22,2.68,2.54,13.86
